name,source_id,distance,Gmag,Pwd,mass,mass_error,SN,SN_error,logcahe,logcah
WDJ064509.30-164300.72,2947050466531873024,2.67014694,8.524133,0.999255,0.4389635,0.1026786,33.722063782036294,5.620343963672715,,
WDJ004909.90+052318.99,2552928187080872832,4.31389618,12.299163,0.995934,,,20.872747433177455,3.4787912388629088,-9.9197,
WDJ114542.92-645029.46,5332606522595645952,4.63570452,11.423104,0.992202,0.6115934,0.01117468,19.42377151727717,3.237295252879528,,
WDJ041521.80-073929.20,3195919254111315712,5.00713062,9.54224,0.99985,0.5803102,0.01907954,17.98292719954828,2.997154533258046,,
WDJ043112.57+585841.29,470826482637310848,5.51562786,12.33619,0.994314,0.6344357,0.01085353,16.325043622157825,2.7208406036929706,,
WDJ174807.99+705235.92,1638979384378696704,6.21035337,13.778201,0.999503,,,10.78502984446089,1.7975049740768154,,
WDJ084132.43-325632.92,5639391810273308416,8.51454544,11.822395,0.984415,0.4065348,0.00595829,10.575181734902932,1.7625302891504886,,<-11.124
WDJ074020.79-172449.16,5717278911884258176,9.14225578,12.970207,0.988814,0.5647256,0.01060103,9.849086219516058,1.6415143699193429,,
WDJ031031.02-683603.38,4646535078125821568,10.392766,11.409583,0.999362,0.654938,0.01769997,8.663994303161356,1.4439990505268925,,
WDJ120526.67-233312.14,3489719481290397696,10.4231777,12.738089,0.99053,0.4651513,0.006156377,8.638715371617337,1.4397858952695561,,-9.7
WDJ055509.53-041007.07,3022956969731332096,6.44005585,14.236672,1.0,,,8.594530949555455,1.4324218249259093,,
WDJ192034.92-074000.07,4201781696994073472,10.5023279,12.253493,0.99744,0.6120333,0.01368033,8.573610181994892,1.428935030332482,,
WDJ075308.14-674731.38,5273943488410008832,8.16676235,13.777515,0.996652,,,8.20367021386849,1.3672783689780816,,
WDJ214241.01+205958.12,1792830060723673472,11.0400734,13.174672,0.99308,0.631828,0.01208305,7.659672993113845,1.276612165518974,,
WDJ043747.41-084910.62,3186021141200137472,9.39992332,13.600672,0.983524,,,7.649212722860856,1.274868787143476,,
WDJ055625.46+052148.44,3320184202856435840,8.11431599,13.967377,0.995985,,,7.6391743871468645,1.2731957311911442,,
WDJ013759.39-045944.67,2480523216087975040,12.6134272,12.744349,0.837394,0.2449982,0.002932735,7.138651850156081,1.1897753083593468,,<-11.530
WDJ014300.98-671830.35,4698424845771339520,9.7139225,13.696558,0.991378,,,7.125338009437189,1.1875563349061982,,
WDJ133631.85+034045.94,3713594960831605760,8.34708595,14.37472,0.996521,,,6.249222745207976,1.0415371242013294,,
WDJ195629.23-010232.67,4235280071072332672,11.5599079,13.591183,0.993579,0.5486725,0.01593637,6.243252041318261,1.040542006886377,,<-11.272
WDJ215140.11+591734.85,2202703050401536000,8.46183681,14.373105,0.996758,,,6.168781624672104,1.0281302707786844,,
WDJ203421.89+250349.75,1831553382794173824,14.8194752,11.536574,0.999741,0.6489348,0.01388983,6.075982057589262,1.0126636762648769,,
WDJ004126.03-222102.29,2349916559152267008,9.09305763,14.297183,0.996838,,,5.931395931787727,0.9885659886312882,,
WDJ154730.02-375508.46,6009537829925128064,15.2133541,13.000808,0.995797,0.4725994,0.01287552,5.916986959460033,0.9861644932433387,,<-10.282
WDJ133013.64-083429.47,3630035787972473600,16.0777607,12.355109,0.999462,0.5766593,0.0139931,5.600460605069774,0.9334101008449622,,
WDJ201056.85-301306.63,6749419923164242816,16.1972885,12.258787,0.999403,0.5694176,0.01518169,5.559132037321496,0.9265220062202494,,<-8.838
WDJ015202.96+470006.66,356922880493142016,16.5021057,12.495588,0.999369,0.5856979,0.0136061,5.456447016824588,0.9094078361374311,,
WDJ211856.26+541241.24,2176116580055936512,17.3047085,12.393204,0.999751,0.5428564,0.01379353,5.203373718666745,0.867228953111124,,
WDJ001214.75+502520.74,395234439752169344,10.8696184,14.236328,0.996077,,,5.092854872255082,0.8488091453758471,,<-11.147
WDJ113430.48-325002.40,3478127467639543296,9.55113125,14.548313,0.996359,,,5.063502716277363,0.8439171193795605,,
WDJ232847.64+051454.24,2660358032257156736,17.5108604,13.062395,0.997468,0.535704,0.02448285,5.02943277171277,0.8382387952854619,,-6.58
WDJ041630.04-591757.19,4678664766393827328,18.3116283,12.480649,0.999717,0.4940168,0.01474502,4.917250609444111,0.8195417682406851,,
WDJ234350.72+323246.73,2871730307948650368,18.5883064,12.966921,0.987946,0.5450687,0.01301771,4.844059672810699,0.8073432788017831,,<-9.531
WDJ193713.75+274318.74,2025389380082340992,18.2462826,13.061289,0.998417,0.5459551,0.01349048,4.828629277600831,0.8047715462668052,,
WDJ081227.07-352943.32,5544743925212648320,11.1675577,14.346308,0.995287,,,4.728578244104979,0.7880963740174964,,
WDJ055119.48-001021.11,3218697767783768320,11.216711,14.425181,0.99548,,,4.549856815681737,0.7583094692802895,,
WDJ211316.85-814912.88,6348672845649310464,16.1681747,13.605912,0.99483,0.5859083,0.01297569,4.437946676353677,0.7396577793922796,,-8.6
WDJ233850.74-074119.97,2439184705619919488,18.6471157,13.2930565,0.996738,0.4835738,0.01313861,4.340395489450342,0.7233992482417236,,
WDJ191858.63+384321.48,2052891361294411520,11.8665257,14.468728,0.995753,,,4.219959701499383,0.7033266169165641,,
WDJ162825.00+364615.85,1331106782752978688,15.8885574,13.783075,0.995147,0.6277847,0.01267796,4.207234078577404,0.7012056797629007,-9.0694,
WDJ204234.75-200435.94,6857939315643803776,21.7511482,12.377911,0.999737,0.6292246,0.01524936,4.1396833210896435,0.6899472201816073,,
WDJ202025.46-302714.65,6797171060323993728,17.4476624,13.596937,0.995977,0.6062969,0.01433475,4.127084000704521,0.6878473334507536,,
WDJ122642.02-661218.47,5860131207828395648,15.3783092,13.9216,0.990742,0.4497061,0.006068324,4.107736821251491,0.6846228035419151,,
WDJ021228.98-080411.00,2486388560866377856,16.722374,13.719021,0.987889,0.4430122,0.01012999,4.10198544138323,0.6836642402305385,,
